case	playwrightVisible	checkVisibility	intersectionRatio	ioV2Visible	topHitRatio	paintChangedPixels
normal	True	True	1	True	1	5760
display-none	False	False	0	False	0	0
visibility-hidden	False	False	1	False	0	0
opacity-zero	True	False	1	False	1	0
parent-opacity-zero	True	False	1	False	1	0
overflow-full	True	True	0	False	0	0
overflow-partial	True	True	0.317	True	0.4	1824
offscreen	True	True	0	False	0	0
covered	True	True	1	False	0	0
transparent-covered	True	True	1	False	0	5760
clip-path	True	True	0	False	0	0
filter-opacity	True	True	1	False	1	0
transparent-color	True	True	1	True	1	0
scale-zero	False	True	1	False	0	0
content-visibility	False	False	0	False	0	0
mask-zero	True	True	1	True	1	0
pointer-none	True	True	1	True	0	5760
empty-canvas	True	True	1	True	1	0
pseudo	True	True	1	True	1	3344
